Controller,LicenseFeatures,QueryString,XpathOfElements,Execution Results,Licensed Features,UnLicensed Features
Reports,CopyComplianceReport,?reportId=${APISecurityTest_Report001},"id=""report-run-x-fov-color-selected-ID""",,FOV color selection- Copy Compliance Report should have fields for FOV color selection,FOV color selection- Copy Compliance Report should not have fields for FOV color selection
Reports,CopyComplianceReport,?reportId=${APISecurityTest_Report001},"id=""report-run-x-lisa-color-selected-ID""",,LISA color selection- Copy Compliance Report should have fields for LISA color selection,LISA color selection- Copy Compliance Report should not have fields for LISA color selection
Reports,AssessmentReport,,"id=""report-run-x-fov-color-selected-ID""",,FOV color selection- New Assessment Report should have fields for FOV color selection,FOV color selection- New Assessment Report should not have fields for FOV color selection
Reports,CopyAssessmentReport,?reportId=${APISecurityTest_Assessment001},"id=""report-run-x-fov-color-selected-ID""",,FOV color selection- Copy Assessment Report should have fields for FOV color selection,FOV color selection- Copy Assessment Report should not have fields for FOV color selection
Live,Survey,/${APISecurityTest_Survey001},"id=""bottom_button_gis""",,GIS Layer - GIS menu should be available on Survey view,GIS Layer - GIS menu  should not be available on Survey view
Live,Observer,?serialNumber=${Analyzer_Picarro_SerialNumber001},"id=""bottom_button_gis""",,GIS Layer - GIS menu should be available on Observer view,GIS Layer - GIS menu should not be available on Observer view
Live,Driver,?serialNumber=${Analyzer_Picarro_SerialNumber001}&address=AnyAddress&port=9999,"id=""bottom_button_gis""",,GIS Layer - GIS menu should be available on Driver view,GIS Layer - GIS menu should not be available on Driver view
Reports,ComplianceReport,,"id=""optional-view-layers""",,"GIS Layer - New Compliance report, GIS layer feature should be present","GIS Layer - New Compliance report, GIS layer feature should not be present"
Reports,CopyComplianceReport,?reportId=${APISecurityTest_Report001},"id=""optional-view-layers""",,"GIS Layer - Copy Compliance report, GIS layer feature should be present","GIS Layer - Copy Compliance report, GIS layer feature should not be present"
Reports,AssessmentReport,,"id=""optional-view-layers""",,"GIS Layer - New Assessment report, GIS layer feature should be present","GIS Layer - New Assessment report, GIS layer feature should not be present"
Reports,CopyAssessmentReport,?reportId=${APISecurityTest_Assessment001},"id=""optional-view-layers""",,"GIS Layer - Copy Assessment report, GIS layer feature should be present","GIS Layer - Copy Assessment report, GIS layer feature should not be present"
