Controller,ActionName,QueryString,Description,PicarroDriver,CustomerDriver,CustomerSupervisor,CustomerAdmin,PicarroSupervisor,PicarroAdmin,Support,Admin
Home,SurveyorSystemsData,?sEcho=1&iColumns=4&sColumns=%2C%2C%2C&iDisplayStart=0&iDisplayLength=10&mDataProp_0=SurveyorName&sSearch_0=&bRegex_0=false&bSearchable_0=true&bSortable_0=true&mDataProp_1=SerialNumber&sSearch_1=&bRegex_1=false&bSearchable_1=true&bSortable_1=true&mDataProp_2=AnalyzerBuildNumber&sSearch_2=&bRegex_2=false&bSearchable_2=true&bSortable_2=true&mDataProp_3=Status&sSearch_3=&bRegex_3=false&bSearchable_3=true&bSortable_3=true&sSearch=&bRegex=false&iSortCol_0=3&sSortDir_0=desc&iSortingCols=1&_=1460079331460,,YES,YES,YES,YES,YES,YES,YES,YES
Home,MeasurementSessions,,,YES,YES,YES,YES,YES,YES,YES,YES
Home,MeasurementSessionData,?sEcho=1&iColumns=11&sColumns=%2C%2C%2C%2C%2C%2C%2C%2C%2C%2C&iDisplayStart=0&iDisplayLength=10&mDataProp_0=Tag&sSearch_0=&bRegex_0=false&bSearchable_0=true&bSortable_0=true&mDataProp_1=UserName&sSearch_1=&bRegex_1=false&bSearchable_1=true&bSortable_1=true&mDataProp_2=SurveyorUnit&sSearch_2=&bRegex_2=false&bSearchable_2=true&bSortable_2=true&mDataProp_3=SerialNumber&sSearch_3=&bRegex_3=false&bSearchable_3=true&bSortable_3=true&mDataProp_4=Start&sSearch_4=&bRegex_4=false&bSearchable_4=true&bSortable_4=true&mDataProp_5=End&sSearch_5=&bRegex_5=false&bSearchable_5=true&bSortable_5=true&mDataProp_6=Status&sSearch_6=&bRegex_6=false&bSearchable_6=true&bSortable_6=true&mDataProp_7=SurveyModeType&sSearch_7=&bRegex_7=false&bSearchable_7=true&bSortable_7=true&mDataProp_8=MinAmplitude&sSearch_8=&bRegex_8=false&bSearchable_8=true&bSortable_8=true&mDataProp_9=Duration&sSearch_9=&bRegex_9=false&bSearchable_9=true&bSortable_9=true&mDataProp_10=&sSearch_10=&bRegex_10=false&bSearchable_10=true&bSortable_10=false&sSearch=&bRegex=false&iSortCol_0=5&sSortDir_0=desc&iSortingCols=1&_=,,YES,YES,YES,YES,YES,YES,YES,YES
Home,DashboardMeasurementSessionData,,,YES,YES,YES,YES,YES,YES,YES,YES
Home,DashboardSurveyorSystemsData,,,YES,YES,YES,YES,YES,YES,YES,YES
Home,FleetMap,,,YES,YES,YES,YES,YES,YES,YES,YES
Home,FleetMapData,,,YES,YES,YES,YES,YES,YES,YES,YES
Live,Survey,/2f1525c4-5a64-0912-27cf-39d9ac4dd8ff,sqapicdr@picarro.com: SimAuto-Surveyor3,YES,YES,YES,YES,YES,YES,YES,YES
Home,ReProcessSession,/2f1525c4-5a64-0912-27cf-39d9ac4dd8ff,sqapicdr@picarro.com: SimAuto-Surveyor3,NO,NO,NO,NO,NO,NO,YES,YES
Home,ExportSession,/2f1525c4-5a64-0912-27cf-39d9ac4dd8ff,sqapicdr@picarro.com: SimAuto-Surveyor3,NO,NO,NO,NO,NO,NO,YES,YES
Home,ExportPeaks,/2f1525c4-5a64-0912-27cf-39d9ac4dd8ff,sqapicdr@picarro.com: SimAuto-Surveyor3,NO,NO,NO,NO,NO,NO,YES,YES
Home,ExportAnalysis,/2f1525c4-5a64-0912-27cf-39d9ac4dd8ff,sqapicdr@picarro.com: SimAuto-Surveyor3,NO,NO,NO,NO,NO,NO,YES,YES
Home,ExportSession,/2f1525c4-5a64-0912-27cf-39d9ac4dd8ff,sqapicdr@picarro.com: SimAuto-Surveyor3,NO,NO,NO,NO,NO,NO,YES,YES
Home,ExportPeaks,/2f1525c4-5a64-0912-27cf-39d9ac4dd8ff,sqapicdr@picarro.com: SimAuto-Surveyor3,NO,NO,NO,NO,NO,NO,YES,YES
Home,ExportAnalysis,/2f1525c4-5a64-0912-27cf-39d9ac4dd8ff,sqapicdr@picarro.com: SimAuto-Surveyor3,NO,NO,NO,NO,NO,NO,YES,YES
Reports,ComplianceReports,,,NO,NO,YES,NO,YES,YES,YES,YES
Reports,ComplianceReport,,,NO,NO,YES,NO,YES,YES,YES,YES
Reports,ViewReportPdf,?reportId=7d2c470e-844e-10ff-e2bf-39d9a770f7cc&ReportType=Investigation,APISecurityTestReport001,NO,NO,NO,NO,YES,YES,YES,YES
Reports,LisaInvestigations,?reportId=7d2c470e-844e-10ff-e2bf-39d9a770f7cc,,NO,NO,NO,NO,YES,YES,YES,YES
Reports,LisaInvestigationsData,?reportId=7d2c470e-844e-10ff-e2bf-39d9a770f7cc&_=1459992736914,,NO,NO,NO,NO,YES,YES,YES,YES
Reports,LisaInvestigationsAssignment,?reportId=7d2c470e-844e-10ff-e2bf-39d9a770f7cc,,NO,NO,NO,NO,YES,YES,YES,YES
Reports,ShowGenerateShapeFile,?reportId=7d2c470e-844e-10ff-e2bf-39d9a770f7cc,,NO,NO,NO,NO,YES,YES,YES,YES
Reports,ShowGenerateReportMeta,?reportId=7d2c470e-844e-10ff-e2bf-39d9a770f7cc,,NO,NO,NO,NO,YES,YES,YES,YES
Reports,ThumbnailPaths,?reportId=7d2c470e-844e-10ff-e2bf-39d9a770f7cc&ReportType=Compliance,,NO,NO,NO,NO,YES,YES,YES,YES
Reports,Thumbnail,?id=c7402957-23ee-904e-3556-39d7041b9140,,NO,NO,NO,NO,YES,YES,YES,YES
Reports,DownloadPdf,?reportId=7d2c470e-844e-10ff-e2bf-39d9a770f7cc&ReportType=Compliance,,NO,NO,NO,NO,YES,YES,YES,YES
Reports,DownloadReportMeta,?reportId=7d2c470e-844e-10ff-e2bf-39d9a770f7cc&ReportType=Compliance,,NO,NO,NO,NO,YES,YES,YES,YES
Reports,DownloadShapefile,?reportId=7d2c470e-844e-10ff-e2bf-39d9a770f7cc&ReportType=Compliance,,NO,NO,NO,NO,YES,YES,YES,YES
Reports,DownloadReportView,?id=2358e72b-c9de-e14c-8b94-39d9cb4f5f85,,NO,NO,NO,NO,YES,YES,YES,YES
Reports,EQReports,,,NO,NO,YES,NO,YES,YES,YES,YES
Reports,EQReport,,,NO,NO,YES,NO,YES,YES,YES,YES
Reports,AssessmentReport,,,NO,NO,YES,NO,YES,YES,YES,YES
Reports,AssessmentReports,,,NO,NO,YES,NO,YES,YES,YES,YES
Reports,CopyAssessmentReport,?reportId=ad5f6814-e3e1-27fe-d46c-39d9a77fe852,,NO,NO,NO,NO,YES,YES,YES,YES
Investigation,GetReportPeaksDataByReportId,?reportId=7d2c470e-844e-10ff-e2bf-39d9a770f7cc,,NO,NO,NO,NO,YES,YES,YES,YES
Common,ModalMapEQAreaSelection,,,NO,NO,YES,NO,YES,YES,YES,YES
Common,ModalMapAreaSelection,?startLatitude=&startLongitude=&endLatitude=&endLongitude=,,NO,NO,YES,NO,YES,YES,YES,YES
Common,ModalMapBoundarySelection,?CustomerID=b1252204-04fb-4a67-82d4-3f4666fd855c&boundaryId=,,NO,NO,NO,NO,YES,YES,YES,YES
Common,ModalMapPointSelection,?latitude=&longitude=,,NO,NO,YES,NO,YES,YES,YES,YES
Admin,ManageSurveyors,,,NO,NO,NO,YES,NO,YES,,
Admin,ManageSurveyorsData,,,NO,NO,NO,YES,NO,YES,,
Admin,ManageSurveyor,?id=171e8086-40ea-cb3e-3cf8-39d8af776430,Black Dodge - P3300 - Picarro,NO,NO,NO,NO,NO,YES,,
Admin,ManageUsers,,,NO,NO,NO,YES,NO,YES,,
Admin,ManageUsersData,,,NO,NO,NO,YES,NO,YES,,
Admin,ManageUser,?id=de734ddf-363e-49fc-8dbc-39c8c221c562,,NO,NO,NO,NO,NO,YES,,
Admin,ResetPassword,?id=de734ddf-363e-49fc-8dbc-39c8c221c562,,NO,NO,NO,NO,NO,YES,,
Admin,ManageRefGasBottles,,,NO,NO,NO,YES,NO,YES,,
Admin,ManageRefGasBottlesData,,,NO,NO,NO,YES,NO,YES,,
Admin,AddrefGasBottle,,,NO,NO,NO,YES,NO,YES,,
Admin,ManageLocationsData,,,NO,NO,NO,YES,NO,YES,,
Admin,ManageLocation,?id=00000000-0000-0000-0001-000000000000,,NO,NO,NO,NO,NO,YES,,
Admin,ValidateUser,?userId=sqapicdr@picarro.com,,NO,NO,NO,NO,NO,YES,NO,YES
